User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);n;t;k;AVG User time;AVG Percent of CPU;AVG Resident set;;;varianza user time;;
0,18;100;0:00.25;177868;0,19;99;0:00.24;177836;0,19;100;0:00.24;177856;0,2;99;0:00.25;177924;0,21;100;0:00.25;177736;0,21;100;0:00.25;177792;0,2;100;0:00.25;177860;0,21;100;0:00.25;177872;0,21;99;0:00.25;177872;0,2;100;0:00.25;177744;0,2;99;0:00.25;177772;0,2;100;0:00.25;177928;0,2;100;0:00.24;177848;80;140;5;0,2;99,69230769;177839,0769;;;8,33333E-05;;
0,2;100;0:00.25;177856;0,19;99;0:00.24;177836;0,19;99;0:00.25;177848;0,21;99;0:00.24;177808;0,2;100;0:00.25;177864;0,2;100;0:00.25;177904;0,18;100;0:00.25;177872;0,2;99;0:00.25;177820;0,18;99;0:00.25;177840;0,2;100;0:00.25;177772;0,2;99;0:00.25;177848;0,19;100;0:00.24;177812;0,22;100;0:00.25;177852;80;145;5;0,196923077;99,53846154;177840,9231;;;0,000123077;;
0,19;99;0:00.25;177632;0,21;100;0:00.25;177816;0,2;99;0:00.25;177632;0,2;100;0:00.25;177904;0,19;100;0:00.25;177732;0,21;100;0:00.24;177924;0,18;99;0:00.25;177840;0,21;100;0:00.25;177940;0,22;100;0:00.24;177636;0,2;100;0:00.24;177852;0,2;99;0:00.25;177736;0,19;99;0:00.24;177832;0,19;99;0:00.25;177636;80;150;5;0,199230769;99,53846154;177777,8462;;;0,000124359;;
0,18;100;0:00.25;177800;0,19;99;0:00.25;177872;0,2;99;0:00.24;177932;0,2;100;0:00.24;177628;0,2;99;0:00.24;177732;0,2;100;0:00.24;177924;0,2;100;0:00.25;177640;0,22;100;0:00.24;177752;0,2;100;0:00.25;177804;0,2;99;0:00.25;177908;0,19;100;0:00.25;177868;0,19;99;0:00.25;177864;0,18;99;0:00.24;177868;80;155;5;0,196153846;99,53846154;177814,7692;;;0,000108974;;
0,2;100;0:00.25;177748;0,2;99;0:00.25;177828;0,2;99;0:00.24;177636;0,2;99;0:00.25;177924;0,19;99;0:00.25;177844;0,2;99;0:00.25;177792;0,19;100;0:00.24;177640;0,2;100;0:00.25;177860;0,2;100;0:00.25;177872;0,19;99;0:00.25;177864;0,2;100;0:00.25;177628;0,19;99;0:00.24;177852;0,19;99;0:00.25;177812;80;160;5;0,196153846;99,38461538;177792,3077;;;2,5641E-05;;
0,21;99;0:00.25;177816;0,18;99;0:00.25;177856;0,21;99;0:00.25;177768;0,2;100;0:00.24;177848;0,2;99;0:00.25;177624;0,2;99;0:00.25;177848;0,2;100;0:00.25;177832;0,2;99;0:00.25;177840;0,19;100;0:00.24;177820;0,19;99;0:00.24;177744;0,22;100;0:00.24;177844;0,19;100;0:00.25;177632;0,18;100;0:00.24;177632;80;165;5;0,197692308;99,46153846;177777,2308;;;0,000135897;;
0,2;100;0:00.24;177636;0,21;100;0:00.24;177636;0,19;99;0:00.25;177836;0,19;99;0:00.25;177628;0,19;100;0:00.24;177860;0,19;99;0:00.25;177864;0,2;99;0:00.25;177820;0,2;100;0:00.25;177940;0,19;99;0:00.24;177776;0,2;99;0:00.25;177812;0,19;99;0:00.25;177864;0,2;99;0:00.25;177768;0,19;99;0:00.25;177744;80;170;5;0,195384615;99,30769231;177783,3846;;;4,35897E-05;;
0,19;99;0:00.25;177856;0,2;99;0:00.25;177848;0,19;99;0:00.25;177816;0,2;99;0:00.25;177904;0,19;99;0:00.25;177628;0,2;99;0:00.25;177740;0,19;100;0:00.24;177860;0,19;100;0:00.24;177744;0,19;100;0:00.24;177852;0,19;100;0:00.24;177928;0,21;100;0:00.25;177920;0,18;100;0:00.25;177628;0,2;99;0:00.25;177852;80;175;5;0,193846154;99,46153846;177813,5385;;;5,89744E-05;;
0,19;99;0:00.25;177856;0,2;100;0:00.25;177836;0,17;100;0:00.24;177912;0,21;99;0:00.25;177740;0,18;99;0:00.25;177728;0,21;99;0:00.25;177732;0,18;99;0:00.24;177840;0,2;100;0:00.25;177860;0,2;100;0:00.24;177936;0,18;99;0:00.24;177848;0,2;100;0:00.25;177812;0,2;100;0:00.25;177868;0,2;100;0:00.25;177852;80;180;5;0,193846154;99,53846154;177832,3077;;;0,000158974;;
0,2;99;0:00.25;177752;0,2;100;0:00.25;177852;0,2;100;0:00.25;177848;0,17;99;0:00.25;177628;0,19;99;0:00.25;177808;0,2;100;0:00.25;177624;0,19;99;0:00.25;177860;0,21;100;0:00.25;177860;0,19;99;0:00.24;177820;0,19;99;0:00.25;177844;0,2;99;0:00.25;177848;0,19;99;0:00.24;177908;0,19;100;0:00.25;177812;80;185;5;0,193846154;99,38461538;177804,9231;;;9,23077E-05;;
