User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);n;t;k;AVG User time;AVG Percent of CPU;AVG Resident set;;;varianza user time;;
0,15;134;0:00.30;668736;0,19;139;0:00.30;668644;0,19;140;0:00.30;668800;0,22;141;0:00.30;668636;0,19;141;0:00.30;668740;0,19;141;0:00.30;668652;0,2;139;0:00.30;668800;0,2;139;0:00.30;668752;0,22;140;0:00.30;668752;0,19;138;0:00.31;668808;0,19;138;0:00.30;668796;0,21;140;0:00.30;668640;0,21;140;0:00.31;668792;80;160;5;0,196153846;139,2307692;668734,4615;;;0,000325641;;
0,22;139;0:00.31;668660;0,2;140;0:00.30;668776;0,2;141;0:00.30;668920;0,24;140;0:00.30;668724;0,16;137;0:00.31;668740;0,2;138;0:00.31;668668;0,23;140;0:00.31;668744;0,2;137;0:00.29;668780;0,21;139;0:00.30;668648;0,18;140;0:00.29;668656;0,23;140;0:00.31;668672;0,2;140;0:00.30;668672;0,22;139;0:00.31;668656;80;165;5;0,206923077;139,2307692;668716,6154;;;0,000473077;;
0,19;138;0:00.30;668672;0,23;140;0:00.30;668748;0,2;136;0:00.30;668776;0,2;139;0:00.30;668892;0,21;142;0:00.30;668768;0,2;139;0:00.30;668744;0,2;135;0:00.31;668744;0,22;139;0:00.30;668680;0,21;138;0:00.30;668816;0,21;140;0:00.31;668668;0,19;139;0:00.31;668740;0,19;141;0:00.30;668744;0,21;139;0:00.30;668732;80;170;5;0,204615385;138,8461538;668748;;;0,00014359;;
0,23;140;0:00.30;668904;0,21;141;0:00.30;668916;0,22;139;0:00.31;668916;0,19;138;0:00.30;668752;0,19;138;0:00.30;668792;0,23;140;0:00.31;668636;0,23;139;0:00.31;668740;0,19;139;0:00.30;668688;0,2;134;0:00.30;668664;0,22;141;0:00.30;668656;0,21;141;0:00.30;668808;0,22;139;0:00.31;668796;0,23;137;0:00.31;668684;80;175;5;0,213076923;138,9230769;668765,5385;;;0,00025641;;
0,23;140;0:00.30;668796;0,21;140;0:00.30;668808;0,2;136;0:00.30;668676;0,2;140;0:00.30;668892;0,18;137;0:00.30;668800;0,21;135;0:00.30;668668;0,22;138;0:00.31;668768;0,2;140;0:00.30;668752;0,23;138;0:00.30;668740;0,21;141;0:00.30;668808;0,2;140;0:00.30;668668;0,2;136;0:00.31;668796;0,25;139;0:00.31;668728;80;180;5;0,210769231;138,4615385;668761,5385;;;0,000324359;;
0,2;138;0:00.31;668804;0,21;141;0:00.30;668696;0,22;140;0:00.30;668748;0,2;140;0:00.30;668752;0,2;136;0:00.31;668800;0,22;139;0:00.30;668688;0,22;140;0:00.31;668728;0,2;140;0:00.30;668648;0,19;138;0:00.30;668816;0,19;140;0:00.31;668668;0,22;139;0:00.30;668736;0,21;140;0:00.31;668668;0,19;140;0:00.31;668760;80;185;5;0,205384615;139,3076923;668731,6923;;;0,00014359;;
0,21;140;0:00.31;668648;0,21;141;0:00.30;668676;0,21;140;0:00.30;668808;0,22;140;0:00.31;668652;0,21;138;0:00.30;668676;0,18;138;0:00.31;668804;0,19;136;0:00.31;668732;0,2;141;0:00.30;668780;0,21;139;0:00.30;668688;0,19;135;0:00.30;668736;0,2;135;0:00.30;668676;0,2;135;0:00.31;668732;0,2;134;0:00.30;668644;80;190;5;0,202307692;137,8461538;668711,6923;;;0,000119231;;
0,21;140;0:00.31;668664;0,2;141;0:00.30;668676;0,23;139;0:00.30;668812;0,22;141;0:00.30;668636;0,19;141;0:00.30;668736;0,19;135;0:00.30;668740;0,19;138;0:00.30;668668;0,2;138;0:00.30;668780;0,22;140;0:00.30;668920;0,2;139;0:00.31;668668;0,2;140;0:00.30;668912;0,18;138;0:00.30;668912;0,22;133;0:00.31;668732;80;195;5;0,203846154;138,6923077;668758,1538;;;0,000225641;;
0,23;141;0:00.30;668684;0,2;140;0:00.30;668748;0,21;140;0:00.31;668696;0,2;139;0:00.30;668636;0,2;138;0:00.30;668792;0,21;139;0:00.30;668768;0,2;137;0:00.31;668744;0,2;141;0:00.30;668688;0,19;138;0:00.30;668748;0,21;140;0:00.30;668692;0,22;141;0:00.30;668796;0,22;139;0:00.31;668692;0,2;137;0:00.31;668660;80;200;5;0,206923077;139,2307692;668718,7692;;;0,000123077;;
0,19;132;0:00.32;672896;0,21;135;0:00.32;673008;0,22;136;0:00.32;673020;0,21;136;0:00.32;672924;0,2;132;0:00.33;672940;0,21;135;0:00.32;672944;0,22;134;0:00.33;672916;0,21;134;0:00.32;673056;0,21;135;0:00.32;672904;0,2;131;0:00.33;672992;0,24;136;0:00.32;673052;0,2;135;0:00.32;673000;0,24;136;0:00.33;672988;40;40;10;0,212307692;134,3846154;672972,3077;672963,6923;min;0,000219231;min;5,8E-05
