;;;BFKC;;;DSK;;;KMC;;;TURTLE;;
n;t;k;AVG User time;AVG Percent of CPU;AVG Resident set;AVG User time;AVG Percent of CPU;AVG Resident set;AVG User time;AVG Percent of CPU;AVG Resident set;AVG User time;AVG Percent of CPU;AVG Resident set
80;155;10;3,698461538;99,76923077;1994,769231;0,227692308;135,1538462;672963,6923;0,07;103,1538462;36499,69231;0,201538462;99,53846154;177763,0769
80;160;10;3,953076923;99,84615385;2002,769231;0,217692308;135,6923077;672977,2308;0,078461538;103,5384615;36500,30769;0,196153846;99,53846154;177812
80;165;10;4,212307692;99,76923077;2048,615385;0,226153846;135,5384615;673005,8462;0,076923077;103,3076923;36499,69231;0,193846154;99,38461538;177822,1538
80;170;10;4,458461538;99,46153846;2029,538462;0,216153846;134,3076923;672975,0769;0,073076923;103,3846154;36500,61538;0,198461538;99,69230769;177789,5385
80;175;10;4,728461538;99,69230769;2086,153846;0,216153846;135,5384615;672975,6923;0,076923077;103,3076923;36499,69231;0,196923077;99,38461538;177796,9231
80;180;10;5,008461538;99,69230769;2061,230769;0,216153846;133,6923077;673021,5385;0,073846154;103,3846154;36500,92308;0,197692308;99,53846154;177774,1538
80;185;10;5,276153846;99,53846154;2104,923077;0,221538462;135,4615385;673022,7692;0,072307692;103,3846154;36500;0,197692308;99,30769231;177772,3077
80;190;10;5,576923077;99,76923077;2104;0,230769231;136,0769231;672989,8462;0,076923077;103,5384615;36499,38462;0,194615385;65,30769231;177804,6154
80;195;10;5,851538462;99,69230769;2104,923077;0,225384615;134,2307692;672973,8462;0,075384615;103,4615385;36499,38462;0,196153846;65,23076923;177799,0769
80;200;10;6,134615385;99,76923077;2129,846154;0,218461538;134,4615385;672990,4615;0,070769231;103,3846154;36500;0,196153846;65,23076923;177793,8462
40;40;15;0,048461538;99,69230769;1576;0,215384615;134,3846154;672976,6154;0,334615385;86,30769231;37035,69231;0,193076923;99,61538462;177395,6923
45;45;15;0,089230769;99,69230769;1547,076923;0,211538462;132,6923077;673014,7692;0,33;87,30769231;37038,15385;0,197692308;99,69230769;177384,6154
50;50;15;0,146923077;99,84615385;1562,769231;0,225384615;135,8461538;673032,6154;0,332307692;87,69230769;37037,84615;0,194615385;99,38461538;177390,4615
55;55;15;0,227692308;99,92307692;1630,153846;0,222307692;135,4615385;673005,8462;0,333076923;88,15384615;37038,15385;0,191538462;99,84615385;177349,8462
60;60;15;0,341538462;100;1645,846154;0,218461538;133,8461538;673011,6923;0,333846154;87,07692308;37039,07692;0,194615385;99,46153846;177384,6154
65;65;15;0,492307692;99,61538462;1626,153846;0,214615385;132,1538462;673006,4615;0,33;87,69230769;37050,46154;0,198461538;99,15384615;177416,3077
70;70;15;0,692307692;99,76923077;1670,769231;0,226923077;135,7692308;673031,3846;0,329230769;87,61538462;37049,23077;0,194615385;99,38461538;177416
75;75;15;0,940769231;99,84615385;1707,076923;0,218461538;134,8461538;673000,6154;0,333076923;86,76923077;37050,46154;0,194615385;99,46153846;177484,9231
80;80;15;1,256153846;99,76923077;1750,461538;0,227692308;135,3076923;672985,8462;0,33;86,15384615;37052;0,196153846;99,38461538;177408,3077
80;85;15;1,426153846;99,84615385;1767,384615;0,216923077;134,6153846;673041,5385;0,335384615;87,30769231;37051,69231;0,194615385;99,69230769;177433,8462
80;90;15;1,589230769;99,69230769;1761,230769;0,227692308;136,3076923;673033,5385;0,330769231;88,07692308;37050,15385;0,193846154;99,46153846;177444
80;95;15;1,768461538;99,76923077;1773,230769;0,209230769;133,2307692;672996,3077;0,33;86,69230769;37050,46154;0,197692308;99,46153846;177419,3846
80;100;15;1,954615385;99,69230769;1814,461538;0,223076923;135,6923077;673002,4615;0,328461538;88,07692308;37049,84615;0,196153846;99,46153846;177449,2308
80;105;15;2,162307692;99,84615385;1805,846154;0,222307692;134,8461538;673022,1538;0,33;87,76923077;37062,15385;0,200769231;99,46153846;177442,1538
80;110;15;2,376923077;99,76923077;1809,230769;0,227692308;136,1538462;672980,6154;0,328461538;87,69230769;37062,46154;0,191538462;99,53846154;177494,7692
80;115;15;2,596923077;99,92307692;1835,692308;0,216153846;134,6923077;673016,9231;0,329230769;87,61538462;37062,15385;0,195384615;99,53846154;177465,2308
80;120;15;2,829230769;99,92307692;1850,153846;0,228461538;135,2307692;673046,4615;0,320769231;87,07692308;37061,84615;0,196153846;99,46153846;177549,5385
80;125;15;3,063846154;99,69230769;1866,153846;0,212307692;135,2307692;673047,3846;0,322307692;87,61538462;37061,53846;0,195384615;99,53846154;177466,1538
